userid,label
1228450995715350528,Anti-Science
1229116611933556737,Pro-Science
1229380546494595077,Anti-Science
1230291518012956673,Pro-Science
1230707865427427328,Pro-Science
1231061400975339522,Pro-Science
1232378326834171904,Pro-Science
1232671818256769024,Anti-Science
1233117776010547201,Pro-Science
1233774656764678145,Anti-Science
1233943180946571264,Anti-Science
1234233227218427906,Pro-Science
1234325833990451200,Pro-Science
1234667247295221760,Pro-Science
1234874334092525568,Anti-Science
1235525748519251970,Anti-Science
1235576537036066816,Anti-Science
1236391812409036803,Anti-Science
123663332,Anti-Science
1238225840695107584,Pro-Science
1238662028,Pro-Science
1239311565272363010,Pro-Science
1239369500,Anti-Science
1239708131409747968,Anti-Science
1239742479743823882,Pro-Science
1240037935,Pro-Science
1240663932777328641,Pro-Science
1240831817495777291,Pro-Science
1240867927299166213,Pro-Science
1240872116091858944,Anti-Science
1241901328349134848,Pro-Science
1242167378772926465,Pro-Science
1242503623562506241,Anti-Science
1242568844532572160,Pro-Science
1242652917976399872,Anti-Science
1242996102854565893,Pro-Science
1243781743032795137,Anti-Science
1244031990191599617,Anti-Science
1244697275865186305,Pro-Science
1246095810191908869,Anti-Science
1246563305298198528,Pro-Science
1246657748105932800,Anti-Science
124832689,Pro-Science
1248932991025455104,Anti-Science
1249045082973646849,Anti-Science
1249210905524449280,Anti-Science
1249738058,Pro-Science
1250026183640530944,Anti-Science
125086730,Pro-Science
1251183970819039233,Anti-Science
125185714,Anti-Science
1252184882865938432,Anti-Science
1253186578316496901,Anti-Science
1253449863104249858,Anti-Science
1253490208936472577,Anti-Science
1253723061330812928,Anti-Science
1253764387376070656,Pro-Science
1254059496898469888,Anti-Science
1255482104,Anti-Science
1255565859805958144,Pro-Science
1255812406225317893,Anti-Science
1256029575550849025,Anti-Science
12570132,Anti-Science
1257647920033288193,Anti-Science
125826973,Anti-Science
1259157516694384640,Pro-Science
1259213399235473408,Pro-Science
1260570482434347010,Anti-Science
1260689171775213573,Pro-Science
1261389483930341376,Pro-Science
1261422827930030087,Anti-Science
1261851250670407680,Anti-Science
1261989761071398917,Anti-Science
1263123395601936386,Pro-Science
1263864427247476737,Anti-Science
