tweetid,screen_name,date,lang,text,state,friends_count,followers_count
1304470776570093570,miraforeman,Fri Sep 11 17:24:03 +0000 2020,en,Gov is paying £130 per day to local “RESEARCHERS “ to distribute covid tests. Part time also available  Training on line 😮😮😮,,1238,1145.0
1304511926786023425,RobertKennedyJr,Fri Sep 11 20:07:34 +0000 2020,en,"#AstraZeneca has paused its experimental #COVID-19 #vaccine trial after a woman in the UK developed a “suspected serious reaction” consistent with transverse myelitis, a neurological disorder characterized by inflammation of the spinal cord.   https://t.co/sNyKnvnzm6",CA,578,178464
1304547997032869889,BusyDrT,Fri Sep 11 22:30:54 +0000 2020,en,"https://t.co/S1KFETxkDd  Covid19 has proven to be the ultimate GLOBALIST  tool to use against people from every nation, tribe &amp; tongue to own their every breath &amp; move .....",OH,240,65130.0
1304548666338926593,BusyDrT,Fri Sep 11 22:33:34 +0000 2020,en,"https://t.co/S1KFETxkDd  #Covid19 has proven to be the ultimate #GLOBALIST  tool to use against people from every nation, tribe &amp; tongue to own their every move  &amp; breath  ..... #MaskDeception #SurveillanceState #GlobalReset #GlobalCoup",OH,240,65132
1304743429038014464,miraforeman,Sat Sep 12 11:27:29 +0000 2020,en,"LIVE: Yellow Vests call for national protest in Paris amid coronavirus m... https://t.co/BfqIgmpdR0 via @YouTube Live broadcast, antilock down protests",,1241,1149
1304744409494425601,miraforeman,Sat Sep 12 11:31:22 +0000 2020,en,LIVE: Coronavirus sceptics stage protest in Munich https://t.co/7OlPNUPmp9 via @YouTube Live broadcast  Protests in Munic,,1241.0,1149.0
1304782058192097282,mercola,Sat Sep 12 14:00:59 +0000 2020,en,"Today, we may be standing at the literal crossroads of transhumanism, thanks to the fast approaching release of one or more mRNA COVID-19 vaccines   ⚠️ Twitter has CENSORED my website! ✅ Visit 𝐌𝐞𝐫𝐜𝐨𝐥𝐚.𝐜𝐨𝐦 to read this and more news articles.   https://t.co/EhXPTdNtI0 https://t.co/d5SADELnVj",FL,29968.0,289146.0
1304892573828501508,CordeiroRick,Sat Sep 12 21:20:07 +0000 2020,en,COVID-19 FACTS FACEBOOK DOESN'T WANT YOU TO KNOW ABOUT https://t.co/xSRK4kK7RY,,593355,536007
1305377093685899264,micharu333,Mon Sep 14 05:25:26 +0000 2020,en,"Flu shots are being pushed right now...  Before your fear propels you to stand in line,  You may want to consider an alternative perspective:  https://t.co/JhfLE7USza",,63,136
1305420703513088001,MsAnuJohanna,Mon Sep 14 08:18:43 +0000 2020,en,About the law Jonathan Sumption (ex-supreme court): how Boris Johnson conned the country https://t.co/kDGvLrqzGM via @Politic56721677 #KBF #coronavirus #TruthMatters,,8422,9780
1305422139231735809,MsAnuJohanna,Mon Sep 14 08:24:26 +0000 2020,en,If nothing else. We should protect the kids. Seriously people Censorship https://t.co/337oAEzTTc #KBF #Freedom #COVID19,,8422,9780
1305531433600114689,miraforeman,Mon Sep 14 15:38:44 +0000 2020,en,"""Lockdown Was an Overreaction"" - Professor Karol Sikora https://t.co/fMHT9WJGBE via @YouTube Long but worth a watch",,1248,1154
1305532237170061320,Truth_Seeker71,Mon Sep 14 15:41:55 +0000 2020,en,Coronavirus live - latest news updates: Daily coronavirus figures published - as grouse shooting made exempt from rule of six | UK News | Sky News https://t.co/YJxnp1o4p3,,169,88
1305548453527859201,Patriot_Girl_TX,Mon Sep 14 16:46:21 +0000 2020,en,Pfizer CEO says drug company will know if COVID-19 vaccine works before the end of October  https://t.co/9tp6i1X7Wn,TX,6987,7727
1305708536891084800,TruthTeam101,Tue Sep 15 03:22:28 +0000 2020,en,Cooper: Trump's actions contradict what he says in private about Covid-19.  See him putting people at risk at his rallies.  https://t.co/d7xG3dvO2Y via @YouTube,,3764,1046
1305794306746331139,seb293,Tue Sep 15 09:03:17 +0000 2020,en,Year ago today I was in the O'Connell Tower at Glasnevin Cemetery-right now we have a repeat of history regarding the Kurds &amp; never in my life would I have believed I'd be in lockdown etc. until it concludes-until the living leaders of the HDP are as good as gone &amp; how many more! https://t.co/vOjoD2uKB3,,1483,6983
1305846697990533121,WakeTheFlockUp6,Tue Sep 15 12:31:28 +0000 2020,en,Mark Of The Beast Pandemic to Impose Surveillance and Control #MasksOff #burnyourmask #NoMandates #Gates #Pharma #Telecom #BigData https://t.co/H47uoTECEW https://t.co/l77xTuF8Jr,,5512,6403
1305865838075969537,BusyDrT,Tue Sep 15 13:47:32 +0000 2020,en,"In case you missed my interview with @DrMadej today, here is the replay for you.  This was such a great interview, you just have to share it everywhere.  This is so good. https://t.co/9NrLYnDPfU",OH,241.0,65369.0
1305889371418173444,MsAnuJohanna,Tue Sep 15 15:21:03 +0000 2020,en,Totally valid today and at it’s final stages More Deadly Than War – A Lecture by G. Edward Griffin https://t.co/CBIPJI4VBd #freedom #lostfreedom #Corona,,8428,9774
1305892616278548480,Truth_Seeker71,Tue Sep 15 15:33:56 +0000 2020,en,Noel Gallagher on refusing to wear a COVID mask - from the Matt Morgan P... https://t.co/LYJdjkMv7r via @YouTube,,170,88
1305894978690985989,Truth_Seeker71,Tue Sep 15 15:43:19 +0000 2020,en,"Distributing vaccines and treatments for COVID-19 and flu - https://t.co/5IruNFm1bh.  So important to compete this, deadline 18th September!!  https://t.co/HzTQcDdpGH",,170,88
